object_id;federal_state;district;lor_2021;year_accident;month_accident;hour_accident;weekday;accident_category;accident_type;accident_subtype;light_conditions;accident_involving_bicycle;accident_involving_passenger_car;accident_involving_pedestrian;accident_involving_motorcycle;accident_involving_truck;accident_involving_other;road_condition;coordinates_1a;coordinates_2a;coordinates_1b;coordinates_2b
215269;11;Neukoelln;8300935.0;2021;9;7;4;3;0;2;0;1;1;0;0;0;0;0;802306,8278;5817840,181;13,44713225;52,42701187
215265;11;Charlottenburg-Wilmersdorf;4300623.0;2021;9;21;6;2;4;6;2;1;0;0;0;0;1;0;792432,5249;5826118,347;13,30958289;52,50659147
215261;11;Mitte;1401045.0;2021;9;13;5;3;6;7;0;1;0;1;0;0;0;0;796879,124;5831554,601;13,37976069;52,55292007
215256;11;Charlottenburg-Wilmersdorf;4300622.0;2021;9;9;6;3;6;4;0;1;0;1;0;0;0;0;793493,6309;5826491,772;13,32550135;52,50936927
215254;11;Steglitz-Zehlendorf;6400840.0;2021;9;12;5;2;6;7;0;1;1;1;0;0;0;0;789273,6321;5819768,781;13,25766214;52,45134948
215252;11;Steglitz-Zehlendorf;6200313.0;2021;8;16;4;2;4;6;0;1;0;0;0;0;1;0;795325,9907;5818490,934;13,3453387;52,43665826
215250;11;Treptow-Koepenick;8100521.0;2021;9;14;5;3;5;3;0;1;1;0;0;0;0;0;804107,2908;5821880,153;13,47720769;52,46222378
215248;11;Steglitz-Zehlendorf;6200421.0;2021;9;20;2;3;5;2;1;1;0;0;0;0;1;0;793462,3502;5817168,214;13,31684156;52,42580352
215244;11;Lichtenberg;11300620.0;2021;9;15;6;2;5;2;0;1;0;0;0;1;0;1;803521,8757;5829743,09;13,4757824;52,53302318
215241;11;Reinickendorf;12200515.0;2021;8;11;6;3;5;3;0;1;0;0;0;0;1;1;790428,0431;5835178,609;13,28805651;52,58888729
215240;11;Friedrichshain-Kreuzberg;2100104.0;2021;9;13;2;3;5;2;0;1;1;0;0;0;0;0;799334,6625;5826190,594;13,41104101;52,50349606
215237;11;Mitte;1200624.0;2021;9;20;6;3;5;2;2;1;1;0;0;0;0;0;795668,661;5829732,691;13,36033767;52,53724679
215235;11;Friedrichshain-Kreuzberg;2500830.0;2021;9;12;4;3;1;5;0;1;1;0;0;0;0;0;802652,5246;5827370,627;13,46084627;52,51224246
215234;11;Spandau;5400942.0;2021;9;19;3;3;0;1;1;1;0;0;0;0;0;0;783975,2896;5823289,07;13,18290274;52,48569168
215231;11;Neukoelln;8401139.0;2021;9;18;6;3;5;3;0;1;1;0;0;0;0;0;803027,9492;5819382,278;13,45910324;52,44043489
215229;11;Steglitz-Zehlendorf;6100204.0;2021;9;7;3;3;1;5;0;1;1;0;0;0;0;0;795433,6171;5820410,809;13,34861498;52,45381062
215228;11;Mitte;1100103.0;2021;9;0;1;3;2;6;2;1;1;0;0;0;0;1;795783,361;5825692,474;13,35843153;52,50096756
215226;11;Friedrichshain-Kreuzberg;2200208.0;2021;9;13;1;3;5;2;0;1;1;0;0;0;0;0;797938,672;5825259,618;13,38970239;52,49591504
215225;11;Steglitz-Zehlendorf;6300527.0;2021;8;11;7;3;5;3;0;1;1;0;0;0;0;0;790859,0538;5818559,233;13,27987357;52,43966441
215223;11;Pankow;3701658.0;2021;8;13;6;3;5;2;0;1;1;0;0;0;0;0;800223,2243;5829890,634;13,42743193;52,53617257
215222;11;Steglitz-Zehlendorf;6400843.0;2021;9;11;2;2;5;2;0;1;1;0;0;0;0;0;791865,8446;5819886,211;13,2958022;52,45102438
215219;11;Marzahn-Hellersdorf;10100312.0;2021;9;17;5;3;0;1;0;1;0;0;0;0;0;0;808290,6751;5829242,103;13,54540069;52,52585725
215218;11;Tempelhof-Schoeneberg;7200411.0;2021;9;16;6;3;5;2;0;1;1;0;0;0;0;0;795987,906;5824524,272;13,36039807;52,49038472
215215;11;Mitte;1100309.0;2021;9;11;4;3;5;3;0;1;1;0;0;0;0;0;797943,2785;5828779,813;13,39292146;52,5274667
215212;11;Mitte;1100207.0;2021;8;19;3;3;5;3;1;1;1;0;0;0;0;0;798483,274;5826666,508;13,39896173;52,5082284
215211;11;Marzahn-Hellersdorf;10100311.0;2021;9;18;6;3;5;2;0;1;1;0;0;0;0;0;806569,3767;5829131,269;13,52000596;52,52583451
215206;11;Mitte;2400623.0;2021;9;23;5;2;5;3;2;1;1;0;0;0;0;0;800274,8756;5827632,203;13,42615181;52,51590111
215204;11;Marzahn-Hellersdorf;10200629.0;2021;8;13;7;3;5;2;0;1;1;0;0;0;0;0;810911,9057;5829241,003;13,58391293;52,52435901
215203;11;Pankow;3400722.0;2021;9;17;5;3;0;3;0;1;1;0;0;0;0;0;798626,3551;5834002,885;13,40765788;52,57391013
215202;11;Pankow;3601347.0;2021;9;23;5;3;1;7;2;1;1;0;0;0;0;0;799547,5541;5830763,452;13,41828686;52,54436777
215201;11;Treptow-Koepenick;9100304.0;2021;9;10;4;3;5;3;0;1;1;0;0;0;0;0;804562,6487;5822021,658;13,48401852;52,46323846
215200;11;Mitte;1100309.0;2021;9;17;4;3;5;2;0;1;1;0;0;0;0;1;797944,5066;5828783,909;13,39294318;52,52750274
215196;11;Steglitz-Zehlendorf;6200314.0;2021;9;9;5;3;3;2;0;1;1;0;0;0;0;0;794563,5597;5817695,544;13,33345463;52,42993908
215191;11;Mitte;1100102.0;2021;9;8;2;2;5;3;0;1;0;0;0;1;0;0;794947,9644;5827265,85;13,34755446;52,51552395
215184;11;Charlottenburg-Wilmersdorf;4200311.0;2021;8;15;4;3;4;6;0;1;0;0;0;0;1;0;790275,9597;5826014,598;13,27780769;52,50681307
